"LT-B-ST-002-006","LT-B-ST-002-007","LT-B-ST-002-010","LT-B-ST-004-002","LT-B-ST-005-004","LT-B-ST-005-006","LT-B-ST-011-001","LT-B-ST-011-005","LT-B-ST-012-004","LT-B-ST-012-007","LT-B-ST-012-008","LT-B-ST-013-003","LT-B-ST-013-004","LT-B-ST-015-002","LT-B-ST-015-007","LT-B-ST-015-008","LT-B-ST-016-001","LT-B-ST-016-006","LT-B-ST-016-008","LT-B-ST-016-009","LT-B-ST-018-004","LT-B-ST-018-007","LT-B-ST-018-009","LT-B-ST-021-001","LT-B-ST-021-003","LT-B-ST-021-006","LT-B-ST-021-007","LT-B-ST-022-005","LT-B-ST-024-001","LT-B-ST-025-001","LT-B-ST-026-006","LT-B-ST-026-012","LT-B-ST-027-003","LT-B-ST-027-005","LT-B-ST-027-006","LT-B-ST-028-003","LT-B-ST-028-007","LT-B-ST-028-008","LT-B-ST-028-009","LT-B-ST-102-004","LT-B-ST-103-004","LT-B-ST-104-003","LT-B-ST-111-001","LT-B-ST-111-003","LT-B-ST-111-004","LT-B-ST-112-002","LT-B-ST-112-005","LT-B-ST-113-002","LT-B-ST-113-007","LT-B-ST-114-006","LT-B-ST-115-003","LT-B-ST-116-004","LT-B-ST-116-005","LT-B-ST-201-002","LT-B-ST-204-002","LT-B-ST-204-006","LT-B-ST-204-007","LT-B-ST-203-005","LT-B-ST-301-001","LT-B-ST-301-004","LT-B-ST-301-005","LT-B-ST-301-007","LT-B-ST-301-008","LT-B-ST-301-010","LT-B-ST-301-013","LT-B-ST-302-003","LT-B-ST-303-003","LT-B-ST-303-004","LT-B-ST-303-005","LT-B-ST-303-007","LT-B-ST-304-001","LT-B-ST-304-002","LT-B-ST-304-003","LT-B-ST-304-004","LT-B-ST-304-005","LT-B-ST-305-001","LT-B-ST-305-002","LT-B-ST-305-003","LT-B-ST-305-004","LT-B-ST-305-005","LT-B-ST-311-003","LT-B-ST-311-006","LT-B-ST-311-016","LT-B-ST-311-017","LT-B-ST-401-001","LT-B-ST-402-001","LT-B-ST-402-002","LT-B-ST-402-003","LT-B-ST-404-001","LT-B-ST-404-002","LT-B-ST-404-003","LT-B-ST-405-002","LT-B-ST-405-003","LT-B-ST-411-001","LT-B-ST-411-003","LT-B-ST-411-004","LT-B-ST-411-005","LT-B-ST-412-005","LT-B-ST-413-001","LT-B-ST-413-010","LT-B-ST-412-001","Destination"
0,0,0,1,0.5,0,0,0.5,0.5,0.5,0.333333333333333,0.5,0.333333333333333,0,0.666666666666667,1,1,1,1,1,0,1,0.5,0,0,0.5,0,0.333333333333333,0.333333333333333,0.5,1,0,0.333333333333333,0,0.5,0,0.5,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-002-006"
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-002-007"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-002-010"
1,0,0,0,0.5,0,0,0.5,0.5,0.5,0.333333333333333,0.5,0.333333333333333,0,0.666666666666667,1,1,1,1,1,0,1,0.5,0,0,0.5,0,0.333333333333333,0.333333333333333,0.5,1,0,0.333333333333333,0,0.5,0,0.5,0.333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-004-002"
0.5,0,0,0.5,0,0,0,1,1,1,0.5,0.25,0,0,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0,0.5,0.25,0,0,1,0,0.5,0.5,0.25,0.5,0,0.5,0,1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-005-004"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-005-006"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-011-001"
0.5,0,0,0.5,1,0,0,0,1,1,0.5,0.25,0,0,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0,0.5,0.25,0,0,1,0,0.5,0.5,0.25,0.5,0,0.5,0,1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-011-005"
0.5,0,0,0.5,1,0,0,1,0,1,0.5,0.25,0,0,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0,0.5,0.25,0,0,1,0,0.5,0.5,0.25,0.5,0,0.5,0,1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-012-004"
0.5,0,0,0.5,1,0,0,1,1,0,0.5,0.25,0,0,0.333333333333333,0.5,0.5,0.5,0.5,0.5,0,0.5,0.25,0,0,1,0,0.5,0.5,0.25,0.5,0,0.5,0,1,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LT-B-ST-012-007"
