"Market vendor";"Intermediary 1";"Intermediary 2";"Intermediary 3";"Intermediary 4";"Transfer between markets";"FD present";"No of intermediary in chain";"District_Farm";"Sub-District_Farm";"Upazila_Farm";"Union_Farm";"Village_Farm";"City_market";"market_name";"market_id";"chick_sold_max";"chick_sold_min";"Market_city";"lon_upa";"lat_upa"
"LT-B-ST-001-001";"LT-B-ST-030-103";"LT-B-MT-100";"LT-B-FD-030";NA;"Yes";"Yes";3;"Gazipur";"Gazipur S.";8889;"Joydebpur";NA;"Dhaka";"Amtoli market";1;60;50;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-001-001";"LT-B-ST-030-103";"LT-B-MT-100";"LT-B-FD-030";NA;"Yes";"Yes";3;"Gazipur";"Sreepur";8893;"Maona";NA;"Dhaka";"Amtoli market";1;60;50;"Dhaka";90.4431305886092;24.2060634741482
"LT-B-ST-002-003";"LT-B-ST-002-101";"LT-B-ST-026-201";"LT-B-MT-099";"LT-B-FD-013";"No";"Yes";4;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Sukrabad bazar";2;60;30;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-002-005";"LT-B-ST-026-106";NA;NA;NA;"Yes";"No";1;"Naray Angonj";"Sonargaon";8911;NA;NA;"Dhaka";"Sukrabad bazar";2;300;60;"Dhaka";90.59783629615;23.6789507322036
"LT-B-ST-002-005";"LT-B-ST-026-105";"LT-B-MT-069";"LT-B-FD-014";NA;"Yes";"Yes";3;"Narshingdi";"Belabo";8912;"Morjal";NA;"Dhaka";"Sukrabad bazar";2;300;60;"Dhaka";90.8484166833641;24.1028775655906
"LT-B-ST-005-009";"LT-B-ST-026-103";NA;NA;NA;"Yes";"No";1;"Munshiganj";"Sreenagar";8905;NA;NA;"Dhaka";"Zigatola market";5;55;40;"Dhaka";90.2690729680533;23.5452068228698
"LT-B-ST-011-001";NA;NA;NA;NA;NA;"No";0;"Gazipur";"Gazipur S.";8889;"Tongi bazar";"Tongi bazar";"Dhaka";"Ajampur Kacha bazar";11;20;15;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-011-002";"LT-B-ST-029-101";"LT-B-MT-066";"LT-B-FD-021";NA;"Yes";"Yes";3;"Mymensingh";"Bhaluka";8969;NA;NA;"Dhaka";"Ajampur Kacha bazar";11;90;60;"Dhaka";90.3550394388578;24.3812908164823
"LT-B-ST-011-002";"LT-B-ST-029-101";"LT-B-MT-066";"LT-B-FD-021";NA;"Yes";"Yes";3;"Mymensingh";"Trishal";8980;NA;NA;"Dhaka";"Ajampur Kacha bazar";11;90;60;"Dhaka";90.4135603700895;24.5629969103271
"LT-B-ST-011-005";"LT-B-ST-029-101";"LT-B-MT-066";"LT-B-FD-021";NA;"Yes";"Yes";3;"Mymensingh";"Bhaluka";8969;NA;NA;"Dhaka";"Ajampur Kacha bazar";11;40;30;"Dhaka";90.3550394388578;24.3812908164823
