"Market vendor";"Intermediary 1";"Intermediary 2";"Intermediary 3";"No of intermediary in chain";"FD present";"Transfer between markets";"District_Farm";"Sub-District_Farm";"Upazila_Farm";"Union_Farm";"Village_Farm";"City_market";"market_name";"market_id";"chick_sold_max";"chick_sold_min";"Market_city";"lon_upa";"lat_upa"
"LT-B-ST-002-006";"LT-B-ST-034-101";"LT-B-MT-082";"LT-B-FD-054";3;"Yes";"Yes";"Bogra";"Dupchanchia";9064;"Sadar";NA;"Dhaka";"Sukrabad bazar";2;300;200;"Dhaka";89.1405425767005;24.8876758898696
"LT-B-ST-002-006";"LT-B-ST-034-101";"LT-B-MT-082";"LT-B-FD-020";3;"Yes";"Yes";"Bogra";"Kahaloo";9066;"Deogram";NA;"Dhaka";"Sukrabad bazar";2;300;200;"Dhaka";89.2518816652273;24.8357853881372
"LT-B-ST-002-007";"LT-B-ST-028-103";"LT-B-MT-081";"LT-B-FD-015";3;"Yes";"Yes";"Bogra";"Shajahanpur";9114;NA;NA;"Dhaka";"Sukrabad bazar";2;200;100;"Dhaka";89.6337948680985;24.1692536908316
"LT-B-ST-002-010";"LT-B-ST-028-103";"LT-B-MT-081";"LT-B-FD-015";3;"Yes";"Yes";"Bogra";"Shajahanpur";9114;NA;NA;"Dhaka";"Sukrabad bazar";2;25;20;"Dhaka";89.6337948680985;24.1692536908316
"LT-B-ST-004-002";"LT-B-ST-032-104";"LT-B-MT-092";"LT-B-FD-065";3;"Yes";"Yes";"Bogra";"Dupchanchia";9064;NA;NA;"Dhaka";"Jatrabari Chowrasta bazar";4;150;60;"Dhaka";89.1405425767005;24.8876758898696
"LT-B-ST-004-002";"LT-B-ST-032-104";"LT-B-MT-092";"LT-B-FD-064";3;"Yes";"Yes";"Bogra";"Dupchanchia";9064;"Sadar";NA;"Dhaka";"Jatrabari Chowrasta bazar";4;150;60;"Dhaka";89.1405425767005;24.8876758898696
"LT-B-ST-004-002";"LT-B-ST-032-104";"LT-B-MT-092";"LT-B-FD-066";3;"Yes";"Yes";"Bogra";"Kahaloo";9066;"Kalai";"Kurnipara";"Dhaka";"Jatrabari Chowrasta bazar";4;150;60;"Dhaka";89.2518816652273;24.8357853881372
"LT-B-ST-005-004";"LT-B-ST-028-101";"LT-B-MT-079";"LT-B-FD-053";3;"Yes";"Yes";"Bogra";"Kahaloo";9066;"Narhotto";"Bibir pukur";"Dhaka";"Zigatola market";5;50;30;"Dhaka";89.2518816652273;24.8357853881372
"LT-B-ST-005-006";"LT-B-MT-042";"LT-B-FD-012";NA;2;"Yes";NA;"Sirajgonj";"Ullahpara";9117;NA;NA;"Dhaka";"Zigatola market";5;60;25;"Dhaka";89.5215898094277;24.3351207896286
"LT-B-ST-011-001";NA;NA;NA;0;"No";NA;"Gazipur";"Gazipur S.";8889;"Tongi bazar";"Tongi bazar";"Dhaka";"Ajampur Kacha bazar";11;90;50;"Dhaka";90.4044345206058;24.0215174827904
"LT-B-ST-011-005";NA;NA;NA;0;"No";NA;"Bogra";"Kahaloo";9066;NA;NA;"Dhaka";"Ajampur Kacha bazar";11;130;110;"Dhaka";89.2518816652273;24.8357853881372
"LT-B-ST-012-004";"LT-B-ST-012-102";"LT-B-MT-072";"LT-B-FD-019";3;"Yes";"No";"Bogra";"Kahaloo";9066;"Bir kedar";"Bir Kedar";"Dhaka";"Mirpur-11";12;50;40;"Dhaka";89.2518816652273;24.8357853881372
