LBM,Market,Thana,CC,Upazila,Size,Surveyed,Sales_BR,Sales_DE,Sales_SU,nVendors
6 NUMBER BAZAR_PALLABI_DNCC_DHAKA,6 NUMBER BAZAR,PALLABI,DNCC,DHAKA,M,Yes,9865,22047,21862,20
AGARGAON NOTUN BAZAR_SHEREBANGLANAG_DNCC_DHAKA,AGARGAON NOTUN BAZAR,SHEREBANGLANAG,DNCC,DHAKA,S,Yes,1000,198,274,4
AJAMPUR KACHA BAZAR_UTTARA_DNCC_DHAKA,AJAMPUR KACHA BAZAR,UTTARA,DNCC,DHAKA,L,Yes,19405,11940,12818,34
ALIR MORE BAZAR_BADDA_DNCC_DHAKA,ALIR MORE BAZAR,BADDA,DNCC,DHAKA,S,Yes,2499,0,85,3
AMANBAZAR_HATHAZARI_CCC_CTG,AMANBAZAR,HATHAZARI,CCC,CTG,S,Yes,2089,220,498,7
AMTOLI MARKET_KAFRUL_DNCC_DHAKA,AMTOLI MARKET,KAFRUL,DNCC,DHAKA,S,Yes,946,820,704,4
ANANDABAZAR_CHITTAGONGPORT_CCC_CTG,ANANDABAZAR,CHITTAGONGPORT,CCC,CTG,S,Yes,1357,44,0,4
ANANDO BAZAR_KOTWALI_DSCC_DHAKA,ANANDO BAZAR,KOTWALI,DSCC,DHAKA,S,Yes,4205,161,185,9
ANNANDOBAZARCTG_BAYEJIDBOSTAMI_CCC_CTG,ANNANDOBAZARCTG,BAYEJIDBOSTAMI,CCC,CTG,M,Yes,3989,627,0,12
ARJOTPARA KACHA BAZAR_TEJGAON_DNCC_DHAKA,ARJOTPARA KACHA BAZAR,TEJGAON,DNCC,DHAKA,S,Yes,2714,500,323,3
ARTILARY BAZAR_HALISHAHAR_CCC_CTG,ARTILARY BAZAR,HALISHAHAR,CCC,CTG,S,Yes,2897,145,317,4
ATORER DIPO_PANCHLAISH_CCC_CTG,ATORER DIPO,PANCHLAISH,CCC,CTG,S,Yes,4988,859,374,10
BAHADARHAT KACHABAZAR_PANCHLAISH_CCC_CTG,BAHADARHAT KACHABAZAR,PANCHLAISH,CCC,CTG,L,Yes,23808,5841,5806,34
BAKOLIA BAZAR_CHANDGAON_CCC_CTG,BAKOLIA BAZAR,CHANDGAON,CCC,CTG,S,Yes,2060,90,154,6
BALUSARA BAZAR_BAYEJIDBOSTAMI_CCC_CTG,BALUSARA BAZAR,BAYEJIDBOSTAMI,CCC,CTG,S,Yes,4882,10,284,5
BANANI KACHABAZAR_BANANI_DNCC_DHAKA,BANANI KACHABAZAR,BANANI,DNCC,DHAKA,S,Yes,5162,1500,1816,8
BANDORTILLA KACHABAZAR_EPZ_CCC_CTG,BANDORTILLA KACHABAZAR,EPZ,CCC,CTG,M,Yes,8338,1434,826,16
BANGLA BAZAR_BAYEJIDBOSTAMI_CCC_CTG,BANGLA BAZAR,BAYEJIDBOSTAMI,CCC,CTG,S,Yes,715,0,0,3
BAONIABAD BAZAR_PALLABI_DNCC_DHAKA,BAONIABAD BAZAR,PALLABI,DNCC,DHAKA,S,Yes,2267,0,0,6
BAPARIPARA_DOUBLEMOORING_CCC_CTG,BAPARIPARA,DOUBLEMOORING,CCC,CTG,S,Yes,3529,229,229,7
BAROPUL KACHABAZAR_HALISHAHAR_CCC_CTG,BAROPUL KACHABAZAR,HALISHAHAR,CCC,CTG,S,Yes,2001,915,959,5
BAYEJID KACHABAZAR_BAYEJIDBOSTAMI_CCC_CTG,BAYEJID KACHABAZAR,BAYEJIDBOSTAMI,CCC,CTG,S,Yes,982,0,250,3
BIBIR HAT KACHABAZAR_PANCHLAISH_CCC_CTG,BIBIR HAT KACHABAZAR,PANCHLAISH,CCC,CTG,S,Yes,2662,597,243,6
BIHARI CAMP_MOHAMMADPUR_DNCC_DHAKA,BIHARI CAMP,MOHAMMADPUR,DNCC,DHAKA,M,Yes,7005,329,490,14
BO BAZAR_HALISHAHAR_CCC_CTG,BO BAZAR,HALISHAHAR,CCC,CTG,S,Yes,3846,230,374,6
BOKSHIBAZAR KACHA BAZAR_KOTWALI_DSCC_DHAKA,BOKSHIBAZAR KACHA BAZAR,KOTWALI,DSCC,DHAKA,S,Yes,555,0,0,2
BOLARDEGINPAR_KOTWALI_CCC_CTG,BOLARDEGINPAR,KOTWALI,CCC,CTG,S,Yes,3227,0,1072,8
BOLIRHAT_BAKALIA_CCC_CTG,BOLIRHAT,BAKALIA,CCC,CTG,S,Yes,2537,0,80,7
BONOSREE KACHA BAZAR_RAMPURA_DNCC_DHAKA,BONOSREE KACHA BAZAR,RAMPURA,DNCC,DHAKA,S,Yes,2689,1135,865,3
BORO BAZAR_MIRPUR_DNCC_DHAKA,BORO BAZAR,MIRPUR,DNCC,DHAKA,M,Yes,9033,5136,4204,13
BOTOLA BAZAR_BAYEJIDBOSTAMI_CCC_CTG,BOTOLA BAZAR,BAYEJIDBOSTAMI,CCC,CTG,S,Yes,1183,22,163,5
BOXIR HAT_KOTWALI_CCC_CTG,BOXIR HAT,KOTWALI,CCC,CTG,S,Yes,2363,1638,170,7
CDA KARNAFULLY MARKET_DOUBLEMOORING_CCC_CTG,CDA KARNAFULLY MARKET,DOUBLEMOORING,CCC,CTG,M,Yes,14059,2275,3418,18
CHALKBAZAR KACHABAZAR_CHAWKBAZAR_CCC_CTG,CHALKBAZAR KACHABAZAR,CHAWKBAZAR,CCC,CTG,S,Yes,5353,1057,1021,10
CHOWDHURY HAT_BAYEJIDBOSTAMI_CCC_CTG,CHOWDHURY HAT,BAYEJIDBOSTAMI,CCC,CTG,S,Yes,6995,595,175,8
COLLAG MOR_KHULSHI_CCC_CTG,COLLAG MOR,KHULSHI,CCC,CTG,S,Yes,750,538,0,3
CPZ BAZAR_CHITTAGONGPORT_CCC_CTG,CPZ BAZAR,CHITTAGONGPORT,CCC,CTG,S,Yes,3534,254,231,7
DEWAN HAT KACHABAZAR_DOUBLEMOORING_CCC_CTG,DEWAN HAT KACHABAZAR,DOUBLEMOORING,CCC,CTG,S,Yes,4806,475,714,4
DHUPKHOLA BAZAR_SUTRAPUR_DSCC_DHAKA,DHUPKHOLA BAZAR,SUTRAPUR,DSCC,DHAKA,M,Yes,11115,4048,6167,15
FAKIRAPUL MARKET_MOTIJHEEL_DSCC_DHAKA,FAKIRAPUL MARKET,MOTIJHEEL,DSCC,DHAKA,L,Yes,10074,16621,143648,48
FARIDABAD BANK COLONY_SHYAMPUR_DSCC_DHAKA,FARIDABAD BANK COLONY,SHYAMPUR,DSCC,DHAKA,S,Yes,723,0,37,3
FATAHABAD KACHA BAZAR_HATHAZARI_CCC_CTG,FATAHABAD KACHA BAZAR,HATHAZARI,CCC,CTG,S,Yes,1714,0,0,7
FIRINGI BAZAR_KOTWALI_CCC_CTG,FIRINGI BAZAR,KOTWALI,CCC,CTG,S,Yes,3617,902,978,6
FOILLATOLI KACHA BAZAR_DOUBLEMOORING_CCC_CTG,FOILLATOLI KACHA BAZAR,DOUBLEMOORING,CCC,CTG,M,Yes,7372,1589,701,11
GHANTIGHAR BAZAR_SHYAMPUR_DSCC_DHAKA,GHANTIGHAR BAZAR,SHYAMPUR,DSCC,DHAKA,S,Yes,623,0,0,1
GOPIBAG BAZAR_WARI_DSCC_DHAKA,GOPIBAG BAZAR,WARI,DSCC,DHAKA,M,Yes,4081,3053,3961,18
GULSHAN-1 KACHABAZAR_GULSHAN_DNCC_DHAKA,GULSHAN-1 KACHABAZAR,GULSHAN,DNCC,DHAKA,S,Yes,1233,610,1807,4
GULSHAN-2 KACHABAZAR_GULSHAN_DNCC_DHAKA,GULSHAN-2 KACHABAZAR,GULSHAN,DNCC,DHAKA,S,Yes,1625,1510,3275,4
HAZARIBAG KACHA BAZAR_HAZARIBAG_DSCC_DHAKA,HAZARIBAG KACHA BAZAR,HAZARIBAG,DSCC,DHAKA,S,Yes,4607,736,1572,9
HAZI ABDUK ALI ARCAD_KHULSHI_CCC_CTG,HAZI ABDUK ALI ARCAD,KHULSHI,CCC,CTG,S,Yes,1960,0,90,6
HAZRAT SHAH ALI CITY CORPORATION MARKET_SHAHALI_DNCC_DHAKA,HAZRAT SHAH ALI CITY CORPORATION MARKET,SHAHALI,DNCC,DHAKA,L,Yes,13687,24021,23737,54
JAMAL KHAN_KOTWALI_CCC_CTG,JAMAL KHAN,KOTWALI,CCC,CTG,S,Yes,833,1761,1112,3
JAOTALA KACHABAZAR_KHULSHI_CCC_CTG,JAOTALA KACHABAZAR,KHULSHI,CCC,CTG,M,Yes,6977,430,433,13
JATRABARI CHOWRASTA BAZAR_JATRABARI_DSCC_DHAKA,JATRABARI CHOWRASTA BAZAR,JATRABARI,DSCC,DHAKA,S,Yes,650,761,1408,4
JATRABARI WHOLESALE MARKET_JATRABARI_DSCC_DHAKA,JATRABARI WHOLESALE MARKET,JATRABARI,DSCC,DHAKA,M,Yes,18784,22906,177097,24
JULARHAT BAZAR_PAHARTALI_CCC_CTG,JULARHAT BAZAR,PAHARTALI,CCC,CTG,S,Yes,2177,605,841,4
JURAIN RAILGATE BAZAR_SHYAMPUR_DSCC_DHAKA,JURAIN RAILGATE BAZAR,SHYAMPUR,DSCC,DHAKA,M,Yes,9033,4992,13265,29
KALAMIA BAZAR_BAKALIA_CCC_CTG,KALAMIA BAZAR,BAKALIA,CCC,CTG,S,Yes,2593,55,80,5
KALURJHAT BAZAR_PANCHLAISH_CCC_CTG,KALURJHAT BAZAR,PANCHLAISH,CCC,CTG,S,Yes,2473,685,410,4
KAMAL BAZAR_CHANDGAON_CCC_CTG,KAMAL BAZAR,CHANDGAON,CCC,CTG,S,Yes,3024,671,154,5
KAPTAI RASTER MATHA_CHANDGAON_CCC_CTG,KAPTAI RASTER MATHA,CHANDGAON,CCC,CTG,S,Yes,3297,600,154,8
KAPTAN BAZAR_WARI_DSCC_DHAKA,KAPTAN BAZAR,WARI,DSCC,DHAKA,L,Yes,111479,91615,282902,85
KARNAFULLY COMPLEX_PANCHLAISH_CCC_CTG,KARNAFULLY COMPLEX,PANCHLAISH,CCC,CTG,M,Yes,12663,1843,3189,26
KARNELHAT KACHABAZAR_DOUBLEMOORING_CCC_CTG,KARNELHAT KACHABAZAR,DOUBLEMOORING,CCC,CTG,S,Yes,7029,674,1455,9
KARWAN BAZAR_TEJGAON_DNCC_DHAKA,KARWAN BAZAR,TEJGAON,DNCC,DHAKA,L,Yes,44721,8813,19395,41
KATASHUR BAZAR_MOHAMMADPUR_DNCC_DHAKA,KATASHUR BAZAR,MOHAMMADPUR,DNCC,DHAKA,S,Yes,5204,0,0,4
KATHALBAGAN BAZAR_KALABAGAN_DSCC_DHAKA,KATHALBAGAN BAZAR,KALABAGAN,DSCC,DHAKA,M,Yes,6613,2798,881,18
KAZI BAZAR_CHANDGAON_CCC_CTG,KAZI BAZAR,CHANDGAON,CCC,CTG,S,Yes,664,0,0,2
KAZIRDEORI KACHABAZAR_KOTWALI_CCC_CTG,KAZIRDEORI KACHABAZAR,KOTWALI,CCC,CTG,S,Yes,4231,3112,3026,9
KELLAR MOR BAZAR_LALBAG_DSCC_DHAKA,KELLAR MOR BAZAR,LALBAG,DSCC,DHAKA,S,Yes,1221,933,1962,5
KHILGAON BAZAR_KHILGAON_DSCC_DHAKA,KHILGAON BAZAR,KHILGAON,DSCC,DHAKA,L,Yes,8422,19098,17708,37
KOLLANPUR NOTUN BAZAR_MIRPUR_DNCC_DHAKA,KOLLANPUR NOTUN BAZAR,MIRPUR,DNCC,DHAKA,S,Yes,3068,1972,2943,9
